ACT Plavec d.o.o.;Varaìdin
ALIMENTUM NATURA d.o.o.;Zagreb
Audax usluge d.o.o.;Dugo Selo
AUTO áATRAK d.o.o.;Koprivnica
Avorato d.o.o.;Varaìdin
Belupo;Koprivnica
Bernarda d.o.o.;Nedeliäe
BIRO SERVIS;Koprivnica
BOXMARK LEATHER d.o.o.;Varaìdin
Centrometal d.o.o.;Macinec
City Media d.o.o.;Varaìdin
‰akove‹ki mlinovi d.d. ‰akovec;40000 ‰akovec
DELPRO d.o.o.;Varaìdin???
Derma d.d.;Varaìdin
Drvodjelac d.o.o.;42240 Ivanec
ELEKTROKEM d.o.o.;Sesvete
Element d.o.o.;10000 Zagreb
Eurocable Group d.d.;10090 Zagreb
GIT d.o.o.;Varaìdin
Grawe d.d.;Zagreb
Gumiimpex - GRP d.d.;42000 Varaìdin
HESPO d.o.o.;Prelog
Hobby hiìica;Varaìdin
Ionix Systems d.o.o.;Zagreb
Jedinstvo - Kartonaìa d.o.o.;42240 Ivanec
JELEN Professional d.o.o.;‰akovec
KB d.o.o.;Sra‹inec
Knauf d.o.o., Podruìnica Zagreb;Zagreb
KOGRAD d.o.o.;Pitoma‹a
Konzum d.d. ;Zagreb
KOTONTEKS d.o.o.;Varaìdin
Kraä d.d.;Zagreb
KTC grupa;48260 Kriìevci
Larix d.o.o.;Varaìdin
MAISTRA d.d.;Rovinj
Marcon d.o.o.;42000 Varaìdin
Massmarket d.o.o.;Zagreb
MDV - centar d.o.o.;Varaìdin
MEDIA COMMERCE d.o.o.;Zagreb
Me?imurje graditeljstvo d.o.o.;‰akovec
Mehanotehna d.o.o.;Osijek
Metalska industrija Varaìdin d.d.;42000 Varaìdin
Muraplast d.o.o.;40329 Kotoriba
NECKERMANN d.o.o.;Varaìdin
NOVOKOM d.o.o.;Novi Marof
OMCO CROATIA d.o.o.;Hum na Sutli
Oprema-ure?aji d.d.;42230 Ludbreg
Orto Rea d.o.o.;Varaìdin
Perfekta d.o.o.;Zagreb
Perutnina Ptuj - PIPO d.o.o.;40000 ‰akovec
Petrochem d.o.o.;42000 Varaìdin
PHOENIX farmacija d.d.;Zagreb
PIK Vrbovec d.d.;Vrbovec
Pliva Hrvatska d.o.o.;Zagreb
Podravka d.d.;
SELK d.d.;Kutina
Siemens;Zagreb
Szakal Metal d.o.o.;Varaìdin
áKOLSKA KNJIGA ‰AKOVEC;‰akovec
ámic-commerce d.o.o.;Varaìdin
T7 VIS d.o.o.;42000 Varaìdin
Trgometal d.o.o.;Varaìdin
Trgonom d.o.o.;Novi Marof 42220
Trgostil d.d.;Donja Stubica
TURIST d.o.o. (Hotel Turist);42000 Varaìdin
VARTEKS d.d.;Varaìdin
Vetropack Straìa d.d.;Hum na Sutli
Vindija d.d.;Varaìdin
Violeta d.o.o.;Grude
Windor d.o.o.;Pleternica
WT International d.o.o.;42204 Tur‹in
YTRES d.o.o.;Varaìdin
Zagorje - Tehnobeton d.d.;Varaìdin
Zlatno zrno d.o.o.;Trnovec Bartolove‹ki
